Tianjy,天玑,
Tianjy Organization,组织,
Tianjy Organization Member,组织成员,
Tianjy Organization Role,组织角色,
Tianjy Organization Workspace,组织工作区,
Organization Related,关联组织是,
Not Organization Related,关联组织不是,
Organizations Related In,关联组织属于,
Not Organizations Related In,关联组织不属于,
Organizations Related Ancestors,关联组织是...的祖先或自身,
Not Organizations Related Ancestors,关联组织不是...的祖先及自身,
Organizations Related Descendants,关联组织是....的后代或自身,
Not Organizations Related Descendants,关联组织不是....的后代及自身,
Enabled Organization Module, 启用的组织模块包括,
Enabled Organization Modules In, 启用的组织模块属于,
Disabled Organization Module, 禁用的组织模块包括,
Disabled Organization Modules In', 禁用的组织模块属于,
Copy Roles Only,仅复制角色,
Synchronous Deletion,同步删除,
Visible,可见,
Viewable,可查看,
Addible,可添加,
Editable,可编辑,
Deletable,可删除,
Manageable,可管理,
Edit Roles,编辑角色,
Switch Organization,切换组织
Select Organization,选择组织
Current Organization,当前组织
Work Space,工作区菜单
No Workspace, 没有工作区
Tianjy Organization Inheritable, 组织继承
No Default, 不可设置为默认组织
